city,year,month,season,TMAX_mean,TMAX_max,TMAX_std,TMIN_mean,TMIN_min,TMIN_std,PRCP_sum,SNOW_sum,AWND_mean,TMAX_anomaly_mean,TMIN_anomaly_mean,PRCP_anomaly_sum
Chicago,2013,1,Winter,1.8258064516129033,17.2,6.607922908243582,-7.835483870967742,-18.3,5.5567705481449545,92.1,66.0,5.232258064516128,2.178709677419355,0.19290322580645256,39.489999999999995
Chicago,2013,2,Winter,0.6357142857142858,11.1,4.804875169744309,-7.185714285714285,-17.8,5.078036532603426,75.2,410.0,4.982142857142857,-0.47988855116514667,0.5766970618034445,20.4113475177305
Chicago,2013,3,Spring,4.238709677419355,15.0,4.663880888941801,-3.5258064516129033,-10.0,3.6501112076150486,50.9,266.0,4.606451612903226,-3.7767741935483876,-2.382903225806452,-11.190000000000001
Chicago,2013,4,Spring,13.506666666666666,29.4,6.408180834620338,3.0433333333333334,-3.8,4.103714325384726,220.6,3.0,5.276666666666667,-0.9563333333333326,-0.7909999999999999,113.4
Chicago,2013,5,Spring,21.799999999999997,32.8,6.913127608639474,10.383870967741935,2.2,4.730123097354765,126.0,0.0,4.132258064516129,0.4125806451612872,-0.15096774193548404,-12.609999999999992
Chicago,2013,6,Summer,25.65,32.2,4.120072814890533,14.936666666666667,6.1,4.031041906328278,158.5,0.0,3.816666666666667,-1.5376666666666687,-1.268666666666669,26.419999999999995
Chicago,2013,7,Summer,27.68064516129032,35.6,4.662146812706118,18.05483870967742,12.2,3.7401282250458943,56.4,0.0,3.358064516129032,-1.1585156778705177,-0.9220843672456559,-38.91958041958043
Chicago,2013,8,Summer,28.193548387096776,35.6,3.515104122106101,17.383870967741935,12.8,2.9995662768911053,43.0,0.0,3.3,-0.26572580645161087,-0.9959677419354832,-25.6875
Chicago,2013,9,Fall,25.026666666666664,35.0,4.992334353671695,14.056666666666667,7.8,4.749133012226134,65.4,0.0,3.6933333333333334,-0.24333333333333335,-1.2854166666666664,-9.274999999999999
Chicago,2013,10,Fall,16.89032258064516,26.7,6.153771463566588,6.593548387096774,-1.6,5.640208949076916,79.3,0.0,3.770967741935484,-0.5419354838709654,-1.3129032258064512,-34.025000000000006
Chicago,2013,11,Fall,7.38,20.6,5.883137797538622,-1.2566666666666668,-11.6,5.743763234322426,53.2,23.0,5.09,-2.505416666666666,-2.296666666666667,4.924999999999999
Chicago,2013,12,Winter,-0.4516129032258064,13.3,6.1336705143408725,-9.03225806451613,-21.0,7.22880290213044,49.5,362.0,4.445161290322581,-3.738306451612903,-4.780241935483871,-6.850000000000007
Chicago,2014,1,Winter,-4.019354838709678,7.2,6.81495509179817,-13.948387096774193,-26.6,7.4571608076953755,71.8,856.0,5.877419354838709,-3.6664516129032263,-5.919999999999999,19.189999999999994
Chicago,2014,2,Winter,-3.432142857142857,9.4,5.451744781629196,-12.735714285714286,-22.1,6.265792745547746,63.0,498.0,4.689285714285715,-4.547745694022289,-4.9733029381965554,8.211347517730504
Chicago,2014,3,Spring,4.964516129032258,20.0,6.868117082437116,-5.248387096774193,-18.8,5.8460169327923275,43.5,313.0,4.929032258064517,-3.0509677419354837,-4.105483870967742,-18.590000000000003
Chicago,2014,4,Spring,15.139999999999999,26.7,5.569721097456163,3.2733333333333334,-3.2,3.671223918187403,72.2,36.0,5.116666666666666,0.6770000000000008,-0.5609999999999999,-35.0
Chicago,2014,5,Spring,21.683870967741935,31.7,6.9185786967263505,9.838709677419354,2.8,3.9902946774521846,126.4,0.0,4.548387096774194,0.296451612903223,-0.6961290322580648,-12.20999999999998
Chicago,2014,6,Summer,27.203333333333333,32.8,3.5302127837922987,16.053333333333335,9.4,3.6226046386289648,198.3,0.0,4.2,0.015666666666664733,-0.15200000000000233,66.22
Chicago,2014,7,Summer,26.142105263157895,31.1,2.6862439265168265,16.08421052631579,12.2,2.9271266073469717,53.4,0.0,3.7315789473684213,-2.697055576002945,-2.892712550607286,-5.021678321678326
