city,year,month,season,TMAX_mean,TMAX_max,TMAX_std,TMIN_mean,TMIN_min,TMIN_std,PRCP_sum,SNOW_sum,AWND_mean,TMAX_anomaly_mean,TMIN_anomaly_mean,PRCP_anomaly_sum
San Diego,2013,6,Summer,21.52,26.7,2.28,16.96,13.9,1.49,0.0,0.0,2.91,-0.86,-0.36,-0.56
Chicago,2013,7,Summer,27.68,35.6,4.66,18.05,12.2,3.74,56.4,0.0,3.36,-1.16,-0.92,-38.92
Houston,2013,7,Summer,34.31,37.2,2.0,23.55,20.0,1.71,104.0,0.0,2.86,-0.61,-1.02,15.86
Los Angeles,2013,7,Summer,23.29,27.2,1.37,17.77,16.7,0.75,0.8,0.0,3.28,-1.08,-0.56,-0.96
New York,2013,7,Summer,30.17,36.7,3.69,22.97,17.8,2.75,72.2,0.0,1.99,0.43,1.27,-77.83
Philadelphia,2013,7,Summer,31.13,36.7,3.21,22.84,17.2,2.54,299.79,0.0,3.7,-0.09,1.09,155.21
Phoenix,2013,7,Summer,40.93,45.0,2.98,28.99,23.3,2.66,45.0,0.0,3.6,-0.79,0.1,26.54
San Antonio,2013,7,Summer,36.06,39.4,2.41,24.11,18.3,2.03,18.6,0.0,3.72,0.16,-0.36,-18.69
San Diego,2013,7,Summer,23.55,26.7,1.43,18.95,17.2,0.77,1.3,0.0,2.64,-1.18,-0.65,-3.19
Chicago,2013,8,Summer,28.19,35.6,3.52,17.38,12.8,3.0,43.0,0.0,3.3,-0.27,-1.0,-25.69
Houston,2013,8,Summer,35.09,38.3,2.41,24.11,20.6,1.51,84.6,0.0,2.76,0.05,-0.25,-89.23
Los Angeles,2013,8,Summer,23.41,33.3,2.69,17.27,13.9,1.54,0.0,0.0,3.18,-1.6,-1.48,-0.13
New York,2013,8,Summer,27.53,32.2,2.1,19.81,15.0,2.03,72.5,0.0,1.72,-1.44,-1.25,-35.21
Philadelphia,2013,8,Summer,27.76,31.7,2.5,19.6,14.4,2.36,150.1,0.0,3.11,-1.66,-0.73,42.37
Phoenix,2013,8,Summer,40.7,45.6,3.14,28.95,24.4,2.51,9.2,0.0,3.18,0.06,0.47,-17.13
San Antonio,2013,8,Summer,38.17,40.6,1.49,24.7,21.7,1.26,21.6,0.0,3.44,2.02,0.18,-26.14
San Diego,2013,8,Summer,24.28,31.7,2.62,18.7,17.2,1.38,0.0,0.0,2.57,-1.66,-1.67,-0.87
Chicago,2013,9,Fall,25.03,35.0,4.99,14.06,7.8,4.75,65.4,0.0,3.69,-0.24,-1.29,-9.28
Houston,2013,9,Fall,33.2,37.8,2.56,22.75,17.2,1.74,129.4,0.0,2.95,0.87,0.7,-24.06
Los Angeles,2013,9,Fall,24.85,30.6,2.56,17.54,13.3,1.98,0.0,0.0,3.07,-1.07,-1.14,-5.64
New York,2013,9,Fall,24.64,35.6,3.92,15.22,8.3,4.34,75.0,0.0,1.79,-0.68,-2.13,-28.0
